dataset,n_clusters,init,max_iter,algorithm,n_init,tol,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,silhouette_score,adjusted_mutual_info_score,normalized_mutual_info_score
vertebral_RL.csv,7,random,367,auto,10,0.04962766676964172,None,Real,0.014420557767152786,0.5025576782545151,0.07841682526565505,0.20735761708590186,0.1567954634543537,0.1640250226655122
vertebral_RL.csv,4,random,485,full,18,0.09329555560200423,None,Real,0.03174755722284317,0.49119949890385217,0.02757760233398721,0.26398263748402134,0.11689615580697577,0.12152434448161979
vertebral_RL.csv,24,random,316,elkan,25,0.03450702336584081,None,Real,0.059069231152534485,0.45560079340223403,0.019473999648748307,0.18839561828456117,0.10374309557526451,0.12381228163863471
vertebral_RL.csv,31,k-means++,404,full,17,0.0629701822056968,None,Real,0.14364798739552498,0.45282388558304626,0.016788846401211133,0.19561756164163469,0.10647706454306417,0.13172037823365676
vertebral_RL.csv,27,random,272,full,8,0.013231289345718511,None,Real,0.019748695194721222,0.4542436580018791,0.019031984886794293,0.16854805703495404,0.11062243513246892,0.13223254029522757
vertebral_RL.csv,23,k-means++,110,auto,15,0.04452454947647867,None,Real,0.09841892868280411,0.45898319240004176,0.024545715357644455,0.19136754040685824,0.12541211753082135,0.14455976995004668
vertebral_RL.csv,27,k-means++,112,auto,10,0.0517768408804152,None,Real,0.07268600538372993,0.4557051884330306,0.02012917157627311,0.172354912589765,0.11743833371844134,0.13982722224946542
vertebral_RL.csv,38,k-means++,88,elkan,5,0.02524518589890567,None,Real,0.0493096262216568,0.44908654348053034,0.011346993914157968,0.1780732270037699,0.0884256080022918,0.1194890870744702
vertebral_RL.csv,31,random,477,elkan,15,0.07138255725075832,None,Real,0.033782634884119034,0.4560183735254202,0.0237776470834804,0.16830437412514876,0.12851750760039332,0.1521867794660392
vertebral_RL.csv,3,k-means++,316,auto,14,0.09806050042942029,None,Real,0.01839281991124153,0.5059191982461635,0.04355745934820418,0.2976923764726637,0.1382041808443803,0.1415569784559571
