dataset,n_clusters,n_init,affinity,n_neighbors,assign_labels,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,silhouette_score,adjusted_mutual_info_score,normalized_mutual_info_score
disk_4600n.csv,36,11,nearest_neighbors,21,discretize,None,Synthetic,1.112224040000001,0.20773296652391351,0.01178538134302415,0.3289714699431401,0.15084125362637463,0.15252683129482777
disk_4600n.csv,31,2,rbf,13,discretize,None,Synthetic,5.282129408005858,0.20961295933898674,0.009251099195714473,0.2968513989078371,0.11219033091241025,0.11376880605657969
disk_4600n.csv,23,6,rbf,23,kmeans,None,Synthetic,6.089703461009776,0.2244280892821691,0.01566798493840797,0.295739388295858,0.13930321419794495,0.14053271563401992
disk_4600n.csv,23,2,rbf,17,kmeans,None,Synthetic,6.010434404990519,0.22426311958176162,0.014557230931035604,0.2796359239284656,0.1362157025137521,0.13745304490029145
disk_4600n.csv,14,29,nearest_neighbors,13,kmeans,None,Synthetic,4.921998414996779,0.22922147536799115,0.0007029338292322614,0.29350577855250626,0.09110736729638547,0.09198887888329364
disk_4600n.csv,29,20,nearest_neighbors,3,discretize,None,Synthetic,14.124109835000127,0.2302915567656485,0.01138050062481695,-0.3980348759165669,0.06350399897195838,0.06529904304779187
disk_4600n.csv,15,25,nearest_neighbors,37,discretize,None,Synthetic,1.7744894679926801,0.22547065997334015,0.0013802526264904014,0.31142855557732574,0.07884373245356634,0.07978037914272429
disk_4600n.csv,2,26,rbf,37,discretize,None,Synthetic,6.671370785988984,0.49990725772143285,-9.001130958540499e-05,0.37445969163355425,0.00019680159384332865,0.0004105011468962167
disk_4600n.csv,27,25,rbf,39,kmeans,None,Synthetic,10.089008555005421,0.21990602872079942,0.016074400251284666,0.30383860948437574,0.15313284444310207,0.15449848306086753
disk_4600n.csv,19,24,rbf,35,discretize,None,Synthetic,3.8943755510117626,0.2213529406203617,0.008034265662137056,0.30256678695419786,0.1030974449598089,0.1041863432782282
