dataset,eps,min_samples,metric,algorithm,leaf_size,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,adjusted_mutual_info_score,normalized_mutual_info_score,silhouette_score,davies_bouldin_score,calinski_harabasz_score,dunn_score,c_index_score,ratkowsky_lance_score,mc_clain_rao_score
disk_1000n.csv,0.8692152381323158,5,manhattan,kd_tree,12,,Synthetic,0.013342830003239214,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.18852832244612533,8,manhattan,brute,37,,Synthetic,0.013179388013668358,0.530980980980981,0.14961602851822342,0.2687923280383411,0.27714429420132725,-0.1094091672126216,1.9572542957181,26.543573747040504,0.01451311245383084,0.05913353208016154,0.08445924297948328,0.6983843549763323
disk_1000n.csv,0.3071162467767573,19,l2,ball_tree,4,,Synthetic,0.0043243609834462396,0.5702582582582583,-0.013068329471566009,0.011188978077058565,0.012757731046112893,0.13054937131617186,2.3565760538451506,7.903287206180023,0.0,0.4473826119104325,0.008432444324305045,inf
disk_1000n.csv,0.3296432911650004,18,l1,brute,39,,Synthetic,0.014166446984745562,0.4587907907907908,-0.05255328867459383,0.1561087656298824,0.16009327454949945,-0.18879861543175835,1.5904113136197031,61.06137023408503,0.005491155911324078,0.2567944110858749,0.13030944364981398,1.5622234827778052
disk_1000n.csv,0.4993605383815,2,euclidean,kd_tree,39,,Synthetic,0.007708148914389312,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.03914783622537493,13,manhattan,kd_tree,38,,Synthetic,0.0038972530746832494,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disk_1000n.csv,0.4515549973234051,6,euclidean,ball_tree,45,,Synthetic,0.008158853044733405,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.4645343507407933,10,euclidean,kd_tree,29,,Synthetic,0.009908567066304386,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.1528444126521785,11,euclidean,auto,24,,Synthetic,0.0043333129724487645,0.6620580580580581,0.3038416043663574,0.2924607253324608,0.2964947875466453,-0.33169599747678385,5.576967362487179,17.029343673492356,0.04943404772589571,0.0434524730271909,0.08810564048848278,4.324025596015508
disk_1000n.csv,0.9934149114007572,15,euclidean,ball_tree,6,,Synthetic,0.00890447897836566,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.7192612853711194,13,l2,kd_tree,47,,Synthetic,0.008870653924532235,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.5097279868081234,2,l1,brute,18,,Synthetic,0.016783621977083385,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.938564496258741,10,euclidean,ball_tree,16,,Synthetic,0.0077674430795013905,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.6023048705120401,13,euclidean,brute,34,,Synthetic,0.04737352998927236,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.5454246988404602,15,manhattan,brute,11,,Synthetic,0.013969616964459421,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.6134336599477179,16,euclidean,brute,14,,Synthetic,0.0284347819397226,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.6183287296336781,9,l2,kd_tree,34,,Synthetic,0.008765514008700848,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.7621349309769727,10,l1,brute,39,,Synthetic,0.014638049993664025,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.5216055730603282,13,manhattan,ball_tree,16,,Synthetic,0.006464864942245185,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.3549322457062601,5,l2,brute,46,,Synthetic,0.03740894608199597,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.12149748910862393,18,l2,auto,8,,Synthetic,0.004498700029216707,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disk_1000n.csv,0.6433283933519588,17,manhattan,brute,14,,Synthetic,0.01766862499061972,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.5061957908656463,11,manhattan,ball_tree,43,,Synthetic,0.006653742049820721,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
disk_1000n.csv,0.6997253798771406,11,l1,kd_tree,29,,Synthetic,0.009724527015350759,0.5795795795795796,0.0,-2.035558115603753e-15,0.0,0.0,0.0,0.0,0.0,1.1282051282051282,8.881784197001246e-18,0.0
