dataset,max_eps,eps,min_samples,cluster_method,xi,metric,algorithm,leaf_size,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,adjusted_mutual_info_score,normalized_mutual_info_score,silhouette_score,davies_bouldin_score,calinski_harabasz_score,dunn_score,c_index_score,ratkowsky_lance_score,mc_clain_rao_score
dense-disk-3000.csv,7.083312724848121e+18,9.995628299121869e+16,5,xi,0.20782492465353125,manhattan,ball_tree,14,,Synthetic,17.106929345056415,0.5600354665697994,0.001027785958728497,0.08152148640641195,0.09216052136448044,-0.652735273055871,1.8151660283750357,8.87459545154652,0.13052938506162828,0.01357158380490438,0.03694794402774434,4.6231748625019815
dense-disk-3000.csv,8.686936088149746e+18,3.5622078842553805e+18,14,dbscan,0.7090184270733115,l2,auto,29,,Synthetic,12.138961486984046,0.5971710383336585,0.0,5.550396245714397e-15,2.9048180801018665e-15,0.0,0.0,0.0,0.0,1.4484126984126984,7.039599875721848e-18,0.0
dense-disk-3000.csv,5.214674921315024e+18,6.340952092793338e+18,11,dbscan,0.2329870011296228,l2,ball_tree,47,,Synthetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense-disk-3000.csv,3.878471344597331e+18,5.20786724673443e+18,18,dbscan,0.7383523803046003,l1,brute,44,,Synthetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense-disk-3000.csv,7.355059826248776e+18,3.80802706381508e+18,15,xi,0.7408596419553358,manhattan,ball_tree,45,,Synthetic,11.99234142608475,0.5971710383336585,0.0,5.550396245714397e-15,2.9048180801018665e-15,0.0,0.0,0.0,0.0,1.4484126984126984,7.039599875721848e-18,0.0
dense-disk-3000.csv,2.6527091455738583e+18,2.373726821354308e+18,10,dbscan,0.5806326201282541,manhattan,ball_tree,14,,Synthetic,11.948614210938105,0.5971710383336585,0.0,5.550396245714397e-15,2.9048180801018665e-15,0.0,0.0,0.0,0.0,1.4484126984126984,7.039599875721848e-18,0.0
dense-disk-3000.csv,8.354605104868657e+18,8.051886179792905e+18,16,dbscan,0.8186905429360319,euclidean,kd_tree,37,,Synthetic,12.663015711004846,0.5971710383336585,0.0,5.550396245714397e-15,2.9048180801018665e-15,0.0,0.0,0.0,0.0,1.4484126984126984,7.039599875721848e-18,0.0
dense-disk-3000.csv,9.092369762528184e+18,3.0534353714476155e+18,10,xi,0.1745434212882398,euclidean,kd_tree,10,,Synthetic,12.439960403949955,0.5971710383336585,0.0,5.550396245714397e-15,2.9048180801018665e-15,0.0,0.0,0.0,0.0,1.4484126984126984,7.039599875721848e-18,0.0
dense-disk-3000.csv,5.340587714540376e+18,4.852034572478618e+18,10,dbscan,0.8020210027712372,l1,brute,39,,Synthetic,9.620409821975043,0.5971710383336585,0.0,5.550396245714397e-15,2.9048180801018665e-15,0.0,0.0,0.0,0.0,1.4484126984126984,7.039599875721848e-18,0.0
dense-disk-3000.csv,5.933697680415428e+18,6.045020586874078e+18,18,xi,0.5798807776824922,manhattan,auto,42,,Synthetic,19.439954394008964,0.5971710383336585,0.0,5.550396245714397e-15,2.9048180801018665e-15,0.0,0.0,0.0,0.0,1.4484126984126984,7.039599875721848e-18,0.0
dense-disk-3000.csv,7.336459695305037e+18,6.341613794393496e+18,10,xi,0.3017460316049297,l2,kd_tree,16,,Synthetic,12.32498725107871,0.5971710383336585,0.0,5.550396245714397e-15,2.9048180801018665e-15,0.0,0.0,0.0,0.0,1.4484126984126984,7.039599875721848e-18,0.0
dense-disk-3000.csv,8.490980252591675e+18,2.311713192011601e+18,4,dbscan,0.4892493184502269,l2,kd_tree,11,,Synthetic,13.166120388079436,0.5971710383336585,0.0,5.550396245714397e-15,2.9048180801018665e-15,0.0,0.0,0.0,0.0,1.4484126984126984,7.039599875721848e-18,0.0
