dataset,eps,min_samples,metric,algorithm,leaf_size,imputation,dataset_type,Train_time,rand_score,adjusted_rand_score,silhouette_score,adjusted_mutual_info_score,normalized_mutual_info_score
vertebral_RL.csv,0.18266278793970092,5,euclidean,brute,4,None,Real,0.002568204999988666,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.0855970966572724,9,manhattan,ball_tree,20,None,Real,0.002010051999945972,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.1402098524047681,8,manhattan,auto,25,None,Real,0.0017889889999764819,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.34357441861566235,7,manhattan,kd_tree,30,None,Real,0.0019981029999485145,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.5712048891558716,12,manhattan,kd_tree,20,None,Real,0.002216323999959968,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.16535665084752996,2,l2,auto,43,None,Real,0.001716129000044475,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.9674028090876317,11,l2,kd_tree,22,None,Real,0.002954127000009521,0.536987159411212,0.0697501661649138,0.23452251330399462,0.12059962041018395,0.12279212246470064
vertebral_RL.csv,0.6718105462789253,8,l2,ball_tree,37,None,Real,0.0017712100000153441,0.5896022549326652,0.1642061184297577,-0.09302088857486951,0.10384419367480978,0.10849722017702626
vertebral_RL.csv,0.6069474148726213,2,manhattan,auto,20,None,Real,0.0022813329999848975,0.5909385113268608,0.10446096492493863,-0.4342655081969022,0.06296938324565245,0.10628661794513299
vertebral_RL.csv,0.9947731136556432,14,manhattan,brute,18,None,Real,0.0023679729999912524,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.8401739797793942,12,manhattan,kd_tree,36,None,Real,0.002476404999981696,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.37644340354274863,8,manhattan,auto,35,None,Real,0.002048822000006112,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.6523203971038153,11,manhattan,auto,40,None,Real,0.002097150999986752,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.3523391126215329,9,manhattan,kd_tree,21,None,Real,0.002004521999992903,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.044145121686579525,19,l2,auto,44,None,Real,0.0016582690000177536,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.6470746813109416,16,euclidean,brute,4,None,Real,0.002667875999975422,0.5662177680342416,0.037211056358690396,-0.17485837985552777,0.011967037189353985,0.015968295965339885
vertebral_RL.csv,0.5063562093191062,18,manhattan,ball_tree,25,None,Real,0.0019838819999904445,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.11938017285157329,8,l2,auto,34,None,Real,0.001876650999975027,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.024539529992128786,18,l2,auto,37,None,Real,0.0018255299999623276,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.8114678031404745,3,euclidean,brute,44,None,Real,0.0026956340000197088,0.5025785572606744,0.006721827988318625,-0.17582743166975928,0.07533608770654789,0.08746911568245998
vertebral_RL.csv,0.8244113223352395,6,manhattan,ball_tree,48,None,Real,0.002078111000002991,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.2741499283210044,18,l2,ball_tree,9,None,Real,0.0017499900000075286,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.6736663181216641,2,euclidean,brute,10,None,Real,0.00261719500002755,0.519427915231235,0.0792033676824383,-0.2138849605683016,0.1195120866510154,0.1458282022682955
vertebral_RL.csv,0.16948568340337547,14,l1,brute,26,None,Real,0.0023670339999739554,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
vertebral_RL.csv,0.13463162897152353,8,manhattan,kd_tree,45,None,Real,0.0016977989999986676,0.5615408706545568,0.0,0.0,2.847779935236864e-17,1.942185915824106e-15
